id,original_sequence,summary_sequence
842,"[1, 1368, 511, 1176, 252, 1262, 6, 593, 3328, 18, 2, 285, 101, 4, 826, 68, 11, 459, 1, 30, 3829, 403, 380, 6, 1546, 523, 4, 1, 319, 152, 1352, 61, 455, 3077, 201, 1, 628, 138, 6, 1, 2, 1, 18, 4, 1441, 851, 2, 403, 446, 285, 24, 734, 92, 361, 6, 1, 208, 2, 1, 522, 4, 476, 176, 30, 851, 165, 826, 926, 6, 1, 1, 2, 1, 24, 4, 3900, 57, 1676, 1076, 1590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1368, 511, 1176, 252, 1262, 6, 593, 3328, 18, 2, 285, 101, 4, 826, 68, 11, 459, 1, 30, 3829, 403, 380, 6, 1546, 523, 4, 1, 319, 152, 1352, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
843,"[223, 201, 164, 82, 59, 2, 1158, 62, 6, 31, 94, 4, 258, 423, 54, 2, 233, 1533, 109, 82, 799, 23, 155, 423, 266, 6, 1158, 671, 210, 2, 1328, 1147, 4, 310, 827, 2, 165, 392, 879, 122, 55, 2059, 774, 6, 3283, 2, 517, 498, 4, 63, 82, 57, 83, 2, 24, 181, 2232, 138, 6, 165, 2995, 4, 250, 143, 1054, 425, 747, 3885, 82, 1487, 6, 1533, 1848, 2, 187, 1322, 156, 4, 789, 21, 2624, 1367, 95, 2, 1077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[223, 201, 164, 82, 59, 2, 1158, 62, 6, 31, 94, 4, 258, 423, 54, 2, 233, 1533, 109, 82, 799, 23, 155, 423, 266, 6, 1158, 671, 210, 2, 1328, 1147, 4, 310, 827, 2, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
844,"[205, 103, 438, 18, 2, 50, 6, 92, 155, 4, 321, 1030, 169, 142, 491, 2, 118, 605, 5, 46, 138, 169, 68, 60, 2714, 1525, 629, 6, 1243, 18, 2, 3338, 33, 4, 648, 751, 254, 1033, 93, 848, 1331, 6, 1127, 2, 125, 1, 4, 325, 1464, 2, 1733, 4157, 3339, 144, 1402, 1459, 344, 6, 3099, 634, 2, 62, 552, 4, 1491, 2, 1537, 398, 103, 629, 458, 1, 6, 2308, 89, 2, 2062, 355, 4, 685, 1193, 374, 202, 176, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[205, 103, 438, 18, 2, 50, 6, 92, 155, 4, 321, 1030, 169, 142, 491, 2, 118, 605, 5, 46, 138, 169, 68, 60, 2714, 1525, 629, 6, 1243, 18, 2, 3338, 33, 4, 648, 751, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
845,"[839, 30, 99, 142, 192, 2523, 6, 4408, 123, 2237, 2, 1852, 24, 25, 4, 55, 116, 550, 1, 2116, 382, 311, 6, 1, 825, 2, 879, 4, 1566, 111, 46, 2237, 841, 111, 281, 6, 2127, 4, 212, 116, 244, 16, 681, 421, 1, 1020, 1852, 24, 6, 1, 330, 2, 1, 162, 4, 63, 133, 2027, 25, 1275, 1820, 6, 1063, 2, 748, 60, 4, 1686, 735, 902, 71, 2268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[839, 30, 99, 142, 192, 2523, 6, 4408, 123, 2237, 2, 1852, 24, 25, 4, 55, 116, 550, 1, 2116, 382, 311, 6, 1, 825, 2, 879, 4, 1566, 111, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
846,"[73, 865, 206, 110, 1025, 6, 370, 24, 2, 327, 4, 2656, 7, 252, 47, 31, 2, 285, 171, 82, 83, 140, 110, 390, 6, 1354, 23, 2, 531, 77, 4, 233, 1328, 181, 392, 215, 1970, 1857, 6, 804, 1334, 2, 4975, 162, 4, 729, 672, 1272, 2577, 370, 284, 96, 6, 559, 263, 2, 1994, 3902, 4, 1, 27, 888, 210, 33, 1115, 82, 169, 6, 3301, 263, 2, 2426, 4, 1275, 479, 317, 47, 1580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[73, 865, 206, 110, 1025, 6, 370, 24, 2, 327, 4, 2656, 7, 252, 47, 31, 2, 285, 171, 82, 83, 140, 110, 390, 6, 1354, 23, 2, 531, 77, 4, 233, 1328, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
847,"[2054, 2723, 241, 107, 3903, 240, 6, 35, 4146, 131, 2, 351, 371, 4, 55, 561, 71, 1, 2054, 2759, 448, 2525, 59, 6, 3049, 2566, 3904, 4, 114, 505, 11, 1163, 192, 1, 1, 114, 38, 6, 2744, 1474, 4, 107, 2054, 133, 2, 2723, 24, 1954, 229, 88, 3074, 423, 2, 3864, 4, 61, 71, 380, 406, 106, 88, 1758, 144, 6, 1335, 1, 2, 31, 967, 6, 1, 2, 2066, 4, 107, 26, 380, 902, 186, 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2054, 2723, 241, 107, 3903, 240, 6, 35, 4146, 131, 2, 351, 371, 4, 55, 561, 71, 1, 2054, 2759, 448, 2525, 59, 6, 3049, 2566, 3904, 4, 114, 505, 11, 1163, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
848,"[1, 269, 450, 463, 190, 19, 541, 6, 173, 920, 4, 2317, 1423, 2192, 2, 2706, 1028, 11, 1523, 844, 174, 1151, 301, 19, 1, 2, 3688, 6, 608, 1791, 4, 547, 75, 1, 983, 1151, 1190, 483, 324, 6, 3120, 1536, 4, 212, 1738, 967, 3314, 1151, 3713, 1918, 6, 119, 3314, 1, 4, 1, 362, 290, 1114, 1151, 1961, 1, 801, 6, 1028, 1, 4, 301, 19, 1702, 225, 3269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 269, 450, 463, 190, 19, 541, 6, 173, 920, 4, 2317, 1423, 2192, 2, 2706, 1028, 11, 1523, 844, 174, 1151, 301, 19, 1, 2, 3688, 6, 608, 1791, 4, 547, 75, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
849,"[1860, 33, 1115, 46, 6, 597, 166, 412, 3289, 2, 848, 511, 4, 107, 108, 2, 1860, 79, 212, 419, 59, 6, 2521, 131, 2, 1, 4, 142, 50, 491, 1, 127, 1, 46, 6, 65, 1388, 2, 515, 93, 4, 114, 412, 169, 1830, 33, 404, 428, 6, 1, 2, 1581, 179, 4, 118, 50, 1, 103, 320, 325, 1930, 46, 6, 169, 1821, 2, 1127, 4, 321, 1030, 89, 326, 46, 1466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1860, 33, 1115, 46, 6, 597, 166, 412, 3289, 2, 848, 511, 4, 107, 108, 2, 1860, 79, 212, 419, 59, 6, 2521, 131, 2, 1, 4, 142, 50, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
850,"[37, 1, 77, 137, 78, 37, 296, 6, 176, 721, 4, 551, 579, 1703, 2, 1497, 965, 613, 1355, 77, 164, 1, 2, 1237, 6, 510, 1132, 2, 2039, 23, 4, 194, 127, 690, 313, 721, 140, 1791, 2, 160, 6, 622, 376, 2, 23, 4, 231, 1113, 953, 335, 376, 2327, 525, 2, 488, 6, 469, 1837, 2, 597, 273, 4, 1, 1703, 127, 77, 155, 536, 723, 6, 3967, 2, 600, 273, 4, 258, 37, 54, 529, 195, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 1, 77, 137, 78, 37, 296, 6, 176, 721, 4, 551, 579, 1703, 2, 1497, 965, 613, 1355, 77, 164, 1, 2, 1237, 6, 510, 1132, 2, 2039, 23, 4, 194, 127, 690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
851,"[558, 330, 388, 258, 449, 30, 2578, 6, 1002, 50, 2, 147, 94, 4, 1, 25, 202, 1085, 2, 2799, 1024, 1, 821, 366, 3315, 2, 1, 6, 880, 1246, 2, 944, 1, 4, 448, 558, 1, 558, 1424, 551, 3793, 54, 6, 880, 229, 2, 1280, 2503, 4, 2368, 1085, 17, 330, 3796, 525, 1314, 1098, 431, 2046, 6, 3315, 897, 4, 2013, 87, 27, 449, 30, 234, 297, 1401, 1, 6, 3873, 387, 2, 838, 23, 4, 194, 1, 1204, 912, 651, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[558, 330, 388, 258, 449, 30, 2578, 6, 1002, 50, 2, 147, 94, 4, 1, 25, 202, 1085, 2, 2799, 1024, 1, 821, 366, 3315, 2, 1, 6, 880, 1246, 2, 944, 1, 4, 448, 558, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
852,"[1539, 134, 775, 71, 85, 7, 223, 25, 6, 2359, 89, 2579, 2, 352, 18, 4, 341, 889, 875, 2579, 185, 1974, 2419, 6, 653, 58, 4, 1336, 1, 44, 479, 2359, 134, 776, 1, 6, 711, 2, 1, 4, 467, 95, 2, 309, 1, 79, 212, 1779, 171, 6, 1, 2006, 2, 431, 68, 4, 797, 472, 1, 127, 3317, 2, 1, 479, 6, 1332, 3105, 2, 1, 4, 142, 517, 326, 71, 545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1539, 134, 775, 71, 85, 7, 223, 25, 6, 2359, 89, 2579, 2, 352, 18, 4, 341, 889, 875, 2579, 185, 1974, 2419, 6, 653, 58, 4, 1336, 1, 44, 479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
853,"[125, 402, 122, 837, 185, 7, 329, 72, 274, 94, 1120, 25, 2, 499, 243, 6, 176, 183, 215, 56, 905, 1468, 2225, 292, 6, 2047, 56, 905, 2, 1201, 18, 4, 475, 95, 2, 928, 50, 1282, 1698, 716, 6, 781, 23, 2, 756, 37, 4, 233, 2, 231, 390, 499, 135, 79, 212, 3294, 229, 6, 3845, 640, 2, 3545, 4, 448, 2125, 274, 363, 165, 284, 116, 2346, 2549, 6, 125, 479, 2, 1660, 241, 4, 55, 262, 317, 227, 1144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[125, 402, 122, 837, 185, 7, 329, 72, 274, 94, 1120, 25, 2, 499, 243, 6, 176, 183, 215, 56, 905, 1468, 2225, 292, 6, 2047, 56, 905, 2, 1201, 18, 4, 475, 95, 2, 928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
854,"[289, 3797, 33, 693, 1, 123, 16, 186, 144, 6, 158, 4, 118, 1080, 167, 2, 240, 117, 1518, 1, 1479, 2717, 3340, 78, 1872, 6, 1480, 1, 2, 1397, 234, 4, 118, 1080, 61, 2058, 404, 1, 6, 70, 1, 2, 4195, 4, 1507, 1080, 2489, 240, 144, 1, 192, 6, 505, 2018, 2, 1, 1185, 4, 107, 186, 371, 867, 2, 128, 357, 1402, 1953, 6, 2331, 68, 2, 1, 33, 4, 118, 406, 106, 308, 3747, 967, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[289, 3797, 33, 693, 1, 123, 16, 186, 144, 6, 158, 4, 118, 1080, 167, 2, 240, 117, 1518, 1, 1479, 2717, 3340, 78, 1872, 6, 1480, 1, 2, 1397, 234, 4, 118, 1080, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
855,"[102, 589, 1948, 206, 104, 501, 6, 597, 40, 4, 231, 2, 3905, 2739, 2278, 2, 497, 465, 296, 102, 3356, 132, 1, 474, 6, 387, 942, 2, 1295, 447, 24, 4, 55, 1257, 1577, 589, 1850, 674, 4995, 275, 6, 1, 2, 1, 2271, 2162, 4, 467, 1732, 2, 620, 1050, 1948, 675, 1928, 6, 2384, 2776, 2, 1, 4, 1, 1925, 584, 622, 1223, 284, 1, 723, 6, 512, 2, 283, 4, 235, 1829, 225, 272, 668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[102, 589, 1948, 206, 104, 501, 6, 597, 40, 4, 231, 2, 3905, 2739, 2278, 2, 497, 465, 296, 102, 3356, 132, 1, 474, 6, 387, 942, 2, 1295, 447, 24, 4, 55, 1257, 1577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
856,"[110, 594, 904, 458, 324, 11, 1242, 6, 1535, 2, 3106, 4, 270, 1147, 2, 55, 1738, 1241, 171, 1, 801, 4215, 3008, 2188, 6, 3762, 2546, 4, 475, 82, 169, 3066, 616, 1, 1153, 6, 1971, 2, 3821, 4, 470, 594, 3751, 2235, 212, 1266, 60, 6, 1, 374, 2, 1, 3107, 4, 2714, 904, 24, 1, 3849, 1, 1128, 6, 1206, 668, 2, 211, 255, 4, 789, 1855, 3139, 31, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[110, 594, 904, 458, 324, 11, 1242, 6, 1535, 2, 3106, 4, 270, 1147, 2, 55, 1738, 1241, 171, 1, 801, 4215, 3008, 2188, 6, 3762, 2546, 4, 475, 82, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
857,"[3, 39, 5, 2616, 10, 1905, 9, 8, 549, 5, 3, 1906, 12, 2122, 10, 8, 150, 30, 3, 2109, 208, 5, 1905, 204, 4, 3, 1363, 2616, 5, 28, 2617, 30, 64, 318, 475, 117, 268, 813, 581, 8, 236, 5, 2376, 1906, 22, 66, 251, 3231, 3, 1834, 5, 76, 1374, 25, 2, 551, 1813, 3747, 712, 2320, 20, 3230, 14, 170, 8, 781, 993, 11, 45, 3, 286, 5, 38, 2, 3, 792, 1652, 5, 3, 626, 581, 661, 1584, 97, 1161, 1, 292, 64, 67, 2693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 39, 5, 2616, 10, 1905, 9, 8, 549, 5, 3, 1906, 12, 2122, 10, 8, 150, 30, 3, 2109, 208, 5, 1905, 204, 4, 3, 1363, 2616, 5, 28, 2617, 30, 64, 318, 475, 117, 268, 813, 581, 8, 236, 5, 2376, 1906, 0, 0, 0, 0, 0, 0]"
858,"[3, 39, 5, 2721, 10, 163, 488, 9, 8, 66, 251, 1088, 4, 8, 163, 30, 2973, 10, 8, 1599, 3003, 5, 76, 42, 1598, 204, 1377, 11, 794, 8, 163, 944, 1302, 2077, 1931, 64, 67, 10, 168, 3796, 81, 3346, 733, 560, 3, 30, 7, 1246, 44, 8, 556, 1, 236, 22, 1, 39, 9, 2767, 1710, 13, 8, 1335, 248, 2, 9, 121, 11, 45, 163, 2309, 2, 3, 62, 5, 1032, 81, 3, 923, 869, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 39, 5, 2721, 10, 163, 488, 9, 8, 66, 251, 1088, 4, 8, 163, 30, 2973, 10, 8, 1599, 3003, 5, 76, 42, 1598, 204, 1377, 11, 794, 8, 163, 944, 1302, 2077, 1931, 64, 67, 10, 168, 3796, 81, 3346, 0, 0, 0, 0, 0, 0, 0, 0]"
